bitrate_gbps,alpha,mac_space,n_frames,modelo,filtrado_pct,descartes_mac_pct,aprendizaje_pct,eficiencia_pct
2.0,0.7,10000,500,CMS+cache,13.200000000000001,0.0,100.0,100.0
2.0,0.7,10000,1000,Base,,0.0,100.0,80.30000000000001
2.0,0.7,10000,1000,Con cache,19.7,0.0,99.87546699875467,100.0
2.0,0.7,10000,1000,CMS+cache,19.7,0.0,100.0,100.0
2.0,0.7,10000,1500,Base,,0.0,100.0,76.4
2.0,0.7,10000,1500,Con cache,23.599999999999998,0.0,100.0,100.0
2.0,0.7,10000,1500,CMS+cache,23.599999999999998,0.0,100.0,100.0
2.0,0.7,10000,2000,Base,,0.0,100.0,73.75
2.0,0.7,10000,2000,Con cache,26.25,0.0,99.9322033898305,100.0
2.0,0.7,10000,2000,CMS+cache,26.25,0.0,100.0,100.0
2.0,0.7,10000,3000,Base,,0.0,100.0,67.83333333333333
2.0,0.7,10000,3000,Con cache,32.166666666666664,0.0,99.95085995085995,100.0
2.0,0.7,10000,3000,CMS+cache,32.166666666666664,0.0,100.0,100.0
2.0,0.7,10000,4000,Base,,0.0,100.0,63.475
2.0,0.7,10000,4000,Con cache,36.5,0.0,99.96061441512406,99.96061441512406
2.0,0.7,10000,4000,CMS+cache,36.5,0.0,100.0,99.96062992125985
2.0,0.7,10000,5000,Base,,0.0,100.0,59.019999999999996
2.0,0.7,10000,5000,Con cache,40.88,0.0,99.96611318197222,99.83079526226734
2.0,0.7,10000,5000,CMS+cache,40.88,0.0,100.0,99.83085250338294
2.0,0.7,10000,7500,Base,,0.0,100.0,51.64
2.0,0.7,10000,7500,Con cache,47.22666666666667,0.0,99.9741802220501,97.85190801111953
2.0,0.7,10000,7500,CMS+cache,47.22666666666667,0.0,100.0,97.85245073269327
2.0,0.7,10000,10000,Base,,0.0,100.0,46.910000000000004
2.0,0.7,10000,10000,Con cache,50.56,0.0,99.97868258367086,94.88165081934048
2.0,0.7,10000,10000,CMS+cache,50.59,0.0,100.0,94.94029548674358
2.0,0.7,10000,15000,Base,,0.0,100.0,39.153333333333336
2.0,0.7,10000,15000,Con cache,54.89333333333334,0.0,100.0,86.80165533550104
2.0,0.7,10000,15000,CMS+cache,55.14666666666667,0.0,100.0,87.29191438763377
2.0,0.7,10000,20000,Base,,0.0,100.0,33.955
2.0,0.7,10000,20000,Con cache,56.725,0.0,100.0,78.4633160023108
2.0,0.7,10000,20000,CMS+cache,56.735,0.0,100.0,78.48145151970415
2.0,0.7,10000,35000,Base,,0.0,100.0,24.025714285714287
2.0,0.7,10000,35000,Con cache,59.35142857142856,0.0,100.0,59.10592535320166
2.0,0.7,10000,35000,CMS+cache,59.12,0.0,100.0,58.77131674587643
51.2,0.7,1000,500,Base,,67.2,45.033112582781456,82.92682926829268
51.2,0.7,1000,500,Con cache,17.2,50.0,47.35099337748344,87.1951219512195
51.2,0.7,1000,500,CMS+cache,17.2,50.0,47.35099337748344,87.1951219512195
51.2,0.7,1000,1000,Base,,73.6,43.037974683544306,77.27272727272727
51.2,0.7,1000,1000,Con cache,26.8,46.800000000000004,48.31223628691983,86.74242424242425
51.2,0.7,1000,1000,CMS+cache,26.700000000000003,46.9,48.31223628691983,86.74242424242425
51.2,0.7,1000,1500,Base,,75.73333333333333,42.57425742574257,70.87912087912088
51.2,0.7,1000,1500,Con cache,33.666666666666664,42.06666666666667,52.8052805280528,87.91208791208791
51.2,0.7,1000,1500,CMS+cache,33.6,42.13333333333333,52.8052805280528,87.91208791208791
51.2,0.7,1000,2000,Base,,76.8,43.857142857142854,66.16379310344827
51.2,0.7,1000,2000,Con cache,38.95,37.85,57.99999999999999,87.5
51.2,0.7,1000,2000,CMS+cache,38.9,37.9,57.99999999999999,87.5
51.2,0.7,1000,3000,Base,,77.86666666666666,45.883777239709445,57.07831325301205
51.2,0.7,1000,3000,Con cache,48.4,29.5,69.73365617433413,86.87782805429865
51.2,0.7,1000,3000,CMS+cache,48.333333333333336,29.56666666666667,69.73365617433413,86.87782805429865
51.2,0.7,1000,4000,Base,,78.4,50.617283950617285,52.19907407407407
51.2,0.7,1000,4000,Con cache,56.025000000000006,22.900000000000002,81.59371492704825,86.23962040332147
51.2,0.7,1000,4000,CMS+cache,55.974999999999994,22.95,81.59371492704825,86.23962040332147
51.2,0.7,1000,5000,Base,,78.72,55.10204081632652,48.214285714285715
51.2,0.7,1000,5000,Con cache,62.660000000000004,18.32,88.93662728249194,87.06624605678233
51.2,0.7,1000,5000,CMS+cache,62.62,18.360000000000003,88.93662728249194,87.06624605678233
51.2,0.7,1000,7500,Base,,79.14666666666666,64.17604912998976,40.089514066496164
51.2,0.7,1000,7500,Con cache,73.56,12.213333333333333,96.51995905834187,88.37863167760075
51.2,0.7,1000,7500,CMS+cache,73.53333333333333,12.24,96.51995905834187,88.37863167760075
51.2,0.7,1000,10000,Base,,79.36,72.1327967806841,34.73837209302326
51.2,0.7,1000,10000,Con cache,79.75999999999999,9.16,98.99396378269618,88.8086642599278
51.2,0.7,1000,10000,CMS+cache,79.74,9.180000000000001,98.99396378269618,88.8086642599278
51.2,0.7,1000,15000,Base,,79.57333333333332,82.88288288288288,27.023498694516974
51.2,0.7,1000,15000,Con cache,86.40666666666667,6.1066666666666665,100.0,88.95814781834372
51.2,0.7,1000,15000,CMS+cache,86.39333333333333,6.12,100.0,88.95814781834372
51.2,0.7,1000,20000,Base,,79.67999999999999,89.4,21.998031496062993
51.2,0.7,1000,20000,Con cache,89.8,4.58,100.0,88.96797153024912
51.2,0.7,1000,20000,CMS+cache,89.79,4.590000000000001,100.0,88.96797153024912
51.2,0.7,1000,35000,Base,,79.81714285714285,97.6,13.816534541336353
51.2,0.7,1000,35000,Con cache,94.17142857142858,2.617142857142857,100.0,88.96797153024912
51.2,0.7,1000,35000,CMS+cache,94.16571428571429,2.6228571428571428,100.0,88.96797153024912
51.2,0.7,5000,500,Base,,67.2,37.56345177664975,90.2439024390244
51.2,0.7,5000,500,Con cache,8.4,58.8,39.08629441624365,93.90243902439023
51.2,0.7,5000,500,CMS+cache,8.0,59.199999999999996,38.83248730964467,93.29268292682927
51.2,0.7,5000,1000,Base,,73.6,32.02797202797203,86.74242424242425
51.2,0.7,5000,1000,Con cache,11.5,62.1,34.82517482517483,94.31818181818183
51.2,0.7,5000,1000,CMS+cache,11.3,62.3,34.68531468531468,93.93939393939394
51.2,0.7,5000,1500,Base,,75.73333333333333,31.536113936927773,85.16483516483517
51.2,0.7,5000,1500,Con cache,14.2,61.53333333333333,35.19837232960326,95.05494505494505
51.2,0.7,5000,1500,CMS+cache,14.066666666666666,61.66666666666667,35.09664292980671,94.78021978021978
51.2,0.7,5000,2000,Base,,76.8,30.806451612903224,82.32758620689656
51.2,0.7,5000,2000,Con cache,16.650000000000002,60.150000000000006,35.564516129032256,95.04310344827587
51.2,0.7,5000,2000,CMS+cache,16.5,60.3,35.483870967741936,94.82758620689656
51.2,0.7,5000,3000,Base,,77.86666666666666,31.05515587529976,78.01204819277109
51.2,0.7,5000,3000,Con cache,22.466666666666665,55.400000000000006,38.1294964028777,95.78313253012048
51.2,0.7,5000,3000,CMS+cache,22.366666666666667,55.50000000000001,38.069544364508396,95.63253012048193
51.2,0.7,5000,4000,Base,,78.4,32.27091633466135,75.0
51.2,0.7,5000,4000,Con cache,27.05,51.349999999999994,41.28486055776893,95.94907407407408
51.2,0.7,5000,4000,CMS+cache,26.974999999999998,51.425,41.235059760956176,95.83333333333334
51.2,0.7,5000,5000,Base,,78.72,32.84734133790737,71.99248120300751
51.2,0.7,5000,5000,Con cache,30.36,48.36,43.82504288164665,96.05263157894737
51.2,0.7,5000,5000,CMS+cache,30.28,48.44,43.78216123499142,95.95864661654136
51.2,0.7,5000,7500,Base,,79.14666666666666,35.54358801750253,67.51918158567774
51.2,0.7,5000,7500,Con cache,36.96,42.199999999999996,50.690003365870076,96.3531669865643
51.2,0.7,5000,7500,CMS+cache,36.89333333333333,42.266666666666666,50.65634466509593,96.2891874600128
51.2,0.7,5000,10000,Base,,79.36,38.18665091553456,62.645348837209305
51.2,0.7,5000,10000,Con cache,43.120000000000005,36.26,58.86001181334909,96.65373423860329
51.2,0.7,5000,10000,CMS+cache,43.07,36.309999999999995,58.830478440637926,96.60523763336566
51.2,0.7,5000,15000,Base,,79.57333333333332,43.4640522875817,56.429503916449086
51.2,0.7,5000,15000,Con cache,52.52,27.093333333333337,73.22775263951733,95.25833878351864
51.2,0.7,5000,15000,CMS+cache,52.48666666666667,27.126666666666665,73.20261437908496,95.22563767168084
51.2,0.7,5000,20000,Base,,79.67999999999999,47.49540441176471,50.86122047244095
51.2,0.7,5000,20000,Con cache,59.195,20.71,84.765625,91.78900223936303
51.2,0.7,5000,20000,CMS+cache,59.17,20.735,84.74264705882352,91.76412042796716
51.2,0.7,5000,35000,Base,,79.81714285714285,60.07067137809188,40.91166477916195
51.2,0.7,5000,35000,Con cache,70.29142857142857,11.834285714285715,96.90293078362086,74.52046035805625
51.2,0.7,5000,35000,CMS+cache,70.24000000000001,11.848571428571429,96.90293078362086,74.36592758015632
51.2,0.7,10000,500,Base,,67.2,36.175115207373274,95.73170731707317
51.2,0.7,10000,500,Con cache,2.8000000000000003,64.4,36.63594470046083,96.95121951219512
51.2,0.7,10000,500,CMS+cache,2.8000000000000003,64.4,36.63594470046083,96.95121951219512
51.2,0.7,10000,1000,Base,,73.6,30.26151930261519,92.04545454545455
51.2,0.7,10000,1000,Con cache,6.0,67.60000000000001,31.63138231631382,96.21212121212122
51.2,0.7,10000,1000,CMS+cache,6.0,67.60000000000001,31.63138231631382,96.21212121212122
51.2,0.7,10000,1500,Base,,75.73333333333333,28.883071553228625,90.93406593406593
51.2,0.7,10000,1500,Con cache,8.266666666666666,67.46666666666667,30.89005235602094,97.25274725274726
51.2,0.7,10000,1500,CMS+cache,8.266666666666666,67.46666666666667,30.89005235602094,97.25274725274726
51.2,0.7,10000,2000,Base,,76.8,28.067796610169495,89.22413793103449
51.2,0.7,10000,2000,Con cache,10.2,66.60000000000001,30.71186440677966,97.62931034482759
51.2,0.7,10000,2000,CMS+cache,10.2,66.60000000000001,30.71186440677966,97.62931034482759
51.2,0.7,10000,3000,Base,,77.86666666666666,28.05896805896806,85.99397590361446
51.2,0.7,10000,3000,Con cache,13.866666666666665,64.0,31.695331695331696,97.13855421686746
51.2,0.7,10000,3000,CMS+cache,13.866666666666665,64.0,31.695331695331696,97.13855421686746
51.2,0.7,10000,4000,Base,,78.4,28.20007877116975,82.87037037037037
51.2,0.7,10000,4000,Con cache,16.625,61.775000000000006,32.965734541157936,96.875
51.2,0.7,10000,4000,CMS+cache,16.625,61.775000000000006,32.965734541157936,96.875
51.2,0.7,10000,5000,Base,,78.72,28.871568959674686,80.07518796992481
51.2,0.7,10000,5000,Con cache,20.080000000000002,58.64,34.97119620467638,96.99248120300751
51.2,0.7,10000,5000,CMS+cache,20.080000000000002,58.64,34.97119620467638,96.99248120300751
51.2,0.7,10000,7500,Base,,79.14666666666666,29.97676219984508,74.23273657289002
51.2,0.7,10000,7500,Con cache,26.040000000000003,53.10666666666667,39.426800929512005,97.63427109974424
51.2,0.7,10000,7500,CMS+cache,26.040000000000003,53.10666666666667,39.426800929512005,97.63427109974424
